agent,n,seed,value_err_rmse,policy_err_l1,premium_vs_twap,premium_ci_low,premium_ci_high,clearance_prob,wall_clock_sec,kappa_hat
A_tabular,1000,0,0.4501172513168122,0.012631036618548681,1.0395970823316885,-0.37652848345958956,2.448897109294637,1.0,0.005706071853637695,nan
A_tabular,1000,1,0.4501179255429663,0.012630826096673207,0.9468360251846679,-0.497336130030738,2.3427707134787297,1.0,0.005964756011962891,nan
A_tabular,1000,2,0.45011778136881925,0.012631163138027873,0.1615339209492131,-1.23686390955308,1.5711062536664273,1.0,0.0062787532806396484,nan
A_tabular,1000,3,0.450117793518647,0.012628234224112269,-0.08467558144520808,-1.3757903161852734,1.27287401379492,1.0,0.0056302547454833984,nan
A_tabular,1000,4,0.45011751542017875,0.012632996519183372,0.5995193814382074,-0.7054458004378455,1.9265289899239948,1.0,0.0062220096588134766,nan
A_tabular,1000,5,0.4501175102607919,0.012630067271110297,0.9834367224047829,-0.36300748957519174,2.3469530170209527,1.0,0.005655765533447266,nan
A_tabular,1000,6,0.4501186147312439,0.012630942926189267,0.046344561640227766,-1.3255952075613149,1.3850133714468855,1.0,0.006730794906616211,nan
A_tabular,1000,7,0.4501176047708715,0.012630310114119237,-0.2716420329429429,-1.6746402303058265,1.185749157765468,1.0,0.0056610107421875,nan
A_tabular,1000,8,0.45011786089601696,0.012630080097228937,0.7386184925092839,-0.7035862931220361,2.129886779832347,1.0,0.005268096923828125,nan
A_tabular,1000,9,0.45011846001034933,0.01263229618207178,0.6082383690523757,-0.7218951547945652,1.9439240098084778,1.0,0.00494074821472168,nan
A_tabular,1000,10,0.4501186014302744,0.012628814173910399,-0.5402691191028253,-1.821414127646196,0.7879326387379989,1.0,0.0055310726165771484,nan
A_tabular,1000,11,0.45011700963237045,0.012630450294388102,1.1784150882334496,-0.1450026903918832,2.5877010689099835,1.0,0.00487208366394043,nan
A_tabular,1000,12,0.45011719807749107,0.01263041624343005,0.9891399142489581,-0.2784021774612042,2.3527597699656977,1.0,0.005599021911621094,nan
A_tabular,1000,13,0.4501181416707741,0.012632160434149138,0.23810271200144598,-1.2137674316352267,1.6333774769765255,1.0,0.004518270492553711,nan
A_tabular,1000,14,0.4501182778820482,0.012630182303594178,0.3709643157042146,-1.043784762543318,1.8063365899094053,1.0,0.005937814712524414,nan
A_tabular,1000,15,0.4501171382624594,0.01262886166069313,-0.02387566394031819,-1.2916383281832573,1.2312712257296679,1.0,0.004763126373291016,nan
A_tabular,1000,16,0.4501182907124075,0.012629167853935084,0.7602007247663196,-0.6889005281013556,2.1793232541416594,1.0,0.004709959030151367,nan
A_tabular,1000,17,0.4501175172596006,0.012632641080190063,0.42550976786523187,-1.0386577679625824,1.8609745121239283,1.0,0.005004167556762695,nan
A_tabular,1000,18,0.4501187432989085,0.0126311775826046,-0.4837398375187686,-1.8044401349059795,0.796316599223412,1.0,0.005110740661621094,nan
A_tabular,1000,19,0.45011825078675,0.01263031104229509,0.3227404982856233,-1.0645819309799682,1.7240676899090823,1.0,0.004622936248779297,nan
A_tabular,3162,0,0.4501165884897104,0.01261032765926585,0.9249690637849035,-0.44458473041078184,2.3328355562690355,1.0,0.007944822311401367,nan
A_tabular,3162,1,0.45011740033645764,0.012612252115895463,0.909886219047975,-0.5815582520058007,2.3590079564999864,1.0,0.008325815200805664,nan
A_tabular,3162,2,0.4501166930653565,0.012611336119993528,0.0669362289046594,-1.3093345587332892,1.3883740539197393,1.0,0.00834202766418457,nan
A_tabular,3162,3,0.45011695219741693,0.012607094982582447,0.5006926983124186,-0.8988711707247093,1.908725836126213,1.0,0.007966995239257812,nan
A_tabular,3162,4,0.45011675631525255,0.01261294849183443,0.21985682518541488,-1.1330932745779718,1.6090653129797903,1.0,0.008026838302612305,nan
A_tabular,3162,5,0.4501169658184568,0.012608893121007226,0.7634997076548916,-0.5567730714108876,2.1640168973289025,1.0,0.007864236831665039,nan
A_tabular,3162,6,0.45011786417849226,0.01260915642285842,0.36896297247508303,-1.0282336386923019,1.738227446894557,1.0,0.008651018142700195,nan
A_tabular,3162,7,0.4501168261098477,0.012607893012078738,-0.40457279916380956,-1.8469117278746996,0.9891702432673538,1.0,0.008466005325317383,nan
A_tabular,3162,8,0.4501172983925324,0.012609993900312682,0.5643597870760723,-0.8152664203941583,1.9590548040224505,1.0,0.008444786071777344,nan
A_tabular,3162,9,0.4501179751009642,0.012612616244745104,0.24096308786885948,-1.0649480953380734,1.5954161702434384,1.0,0.008653879165649414,nan
A_tabular,3162,10,0.4501180318871392,0.01260852087717231,-0.23095915471097306,-1.5334296736140296,1.077008721894523,1.0,0.008102893829345703,nan
A_tabular,3162,11,0.45011635938449757,0.012609112611248266,1.0848770755205979,-0.23452185964325412,2.5487502898584435,1.0,0.008625030517578125,nan
A_tabular,3162,12,0.4501164094669944,0.012609989442994676,1.0514732466039387,-0.2603061280252362,2.4627970226785596,1.0,0.007353305816650391,nan
A_tabular,3162,13,0.4501173716241143,0.01261124960292297,0.09061864239525858,-1.3224240652220993,1.4674882804570117,1.0,0.008358955383300781,nan
A_tabular,3162,14,0.45011744694881545,0.012609083194906655,0.30804353519409233,-1.1243000634136937,1.7121839431612862,1.0,0.00887298583984375,nan
A_tabular,3162,15,0.4501166464267974,0.0126092636060611,0.08876876997525597,-1.166458636819705,1.337574561777521,1.0,0.008059024810791016,nan
A_tabular,3162,16,0.4501174717698757,0.012608254734011413,0.9777453114065292,-0.4941639933759956,2.298431981951242,1.0,0.007828950881958008,nan
A_tabular,3162,17,0.45011669115034353,0.012612724199722094,0.6136741856144726,-0.8510275116004454,2.0616428683139967,1.0,0.008774995803833008,nan
A_tabular,3162,18,0.45011775190379977,0.012610014413661145,-0.22399124825259695,-1.5553033906118774,1.1092401373095784,1.0,0.008794784545898438,nan
A_tabular,3162,19,0.45011769725210776,0.012607563324534216,-0.11185448553453352,-1.4250279162036337,1.2169498614589926,1.0,0.008507013320922852,nan
A_tabular,10000,0,0.4501115446986415,0.012540011232655917,1.2810892890940075,-0.10294271365824986,2.664898697934906,1.0,0.02433013916015625,nan
A_tabular,10000,1,0.45011123132067254,0.012538819495279229,0.6773404357889267,-0.8129753022965006,2.1308538103428742,1.0,0.025712966918945312,nan
A_tabular,10000,2,0.45011138938801093,0.012537642444969486,0.2313518741552016,-1.1820996647911624,1.571022246069998,1.0,0.024025917053222656,nan
A_tabular,10000,3,0.45011055502375685,0.012536592534341676,0.5558799548113457,-0.7521777696654735,1.933044938412853,1.0,0.022912025451660156,nan
A_tabular,10000,4,0.4501111281856564,0.012544428745163027,0.4822461144012032,-0.9234905819129626,1.8943143588859241,1.0,0.02411508560180664,nan
A_tabular,10000,5,0.4501117471090971,0.012534069880272138,0.492967059480131,-0.9431580041240257,1.946717475887793,1.0,0.023669004440307617,nan
A_tabular,10000,6,0.4501137942334931,0.012540273416396967,0.5365959830534602,-0.8794243205951415,1.8992968476917453,1.0,0.024581193923950195,nan
A_tabular,10000,7,0.45011308389494553,0.012540136881316685,-0.7110110297343872,-2.168009617563048,0.7792976732020855,1.0,0.025398969650268555,nan
A_tabular,10000,8,0.4501124074130233,0.012537019657931268,0.3657838265895316,-0.95155703565423,1.7758344605959098,1.0,0.024649858474731445,nan
A_tabular,10000,9,0.45011171454877924,0.012543145605256274,-0.19562098655749469,-1.5810573237771892,1.1475597730963134,1.0,0.024152040481567383,nan
A_tabular,10000,10,0.450113096204713,0.012535813088026425,-0.21896872637752585,-1.5918599210156086,1.1896566356661726,1.0,0.023865699768066406,nan
A_tabular,10000,11,0.45011246056231263,0.012541132147018231,0.7784562721982456,-0.6396466877782091,2.193567654399185,1.0,0.023832082748413086,nan
A_tabular,10000,12,0.4501122442558415,0.012541521623516823,1.6519340620719514,0.2835258901647408,3.0298518140280137,1.0,0.02342510223388672,nan
A_tabular,10000,13,0.45011152891984724,0.012539485224608501,0.5697201283550394,-0.9374666293415546,2.0171967558418697,1.0,0.024090051651000977,nan
A_tabular,10000,14,0.45011291846027884,0.0125375416540925,0.6610378510442461,-0.7828241749178554,2.1791855784335064,1.0,0.023612022399902344,nan
A_tabular,10000,15,0.45011165043094276,0.012537131547998053,-0.02048314966480666,-1.4619284829102188,1.4587459845858253,1.0,0.024038076400756836,nan
A_tabular,10000,16,0.450112636142949,0.012538112602563635,1.4328505838210994,0.04528161075550803,2.85821049505566,1.0,0.02552175521850586,nan
A_tabular,10000,17,0.45011063753140906,0.012547377396892725,0.44817217912274737,-1.0095321879057308,1.9128093447964223,1.0,0.0226900577545166,nan
A_tabular,10000,18,0.45011299088434914,0.01253630528093831,0.031945163631365174,-1.3745057834039676,1.3947887417164202,1.0,0.024250030517578125,nan
A_tabular,10000,19,0.4501122138488777,0.012539002274831366,0.594940413743644,-0.8548258577388602,2.0652296399757284,1.0,0.023126840591430664,nan
A_tabular,31623,0,0.4500952288869153,0.012427071613355878,0.8286194666060146,-0.688844609648548,2.3482084479904004,1.0,0.07593107223510742,nan
A_tabular,31623,1,0.4500979154543667,0.0124087032576549,0.8173904314493656,-0.6636674959964884,2.302886327531501,1.0,0.07541394233703613,nan
A_tabular,31623,2,0.4500936043158621,0.012420805275938628,0.7217594061089158,-0.8081777542076074,2.1656540948061838,1.0,0.07764005661010742,nan
A_tabular,31623,3,0.45009116079869643,0.01241577202036482,0.8565224366147631,-0.5255143450414194,2.266959176638357,1.0,0.07768106460571289,nan
A_tabular,31623,4,0.4500940433995953,0.01240400933991047,0.764493242217005,-0.7222154209278253,2.269627997284688,1.0,0.07410407066345215,nan
A_tabular,31623,5,0.45009748588175763,0.012382402471382035,0.7362288839805551,-0.7667331418477523,2.2513580956625523,1.0,0.07251882553100586,nan
A_tabular,31623,6,0.45009675160843504,0.012389687570598544,0.833469898692134,-0.673029834368552,2.3010175671585413,1.0,0.0754389762878418,nan
A_tabular,31623,7,0.4500961441342255,0.012400427690321198,0.5271021472744496,-0.9846111084910176,2.096359287347508,1.0,0.07490181922912598,nan
A_tabular,31623,8,0.4500980871775516,0.012398383526132066,0.5312235464175729,-0.8908210194752612,2.00416035445491,1.0,0.07628703117370605,nan
A_tabular,31623,9,0.4500967350536888,0.012416086235217963,0.7624583807090339,-0.7671254419786864,2.27799929956151,1.0,0.07548880577087402,nan
A_tabular,31623,10,0.45009384978047956,0.012405736121402335,-0.3757263284612409,-1.7660380397955786,1.1142388753210712,1.0,0.07379508018493652,nan
A_tabular,31623,11,0.450095666683423,0.012427963775372848,1.318816681598635,-0.13225393944158337,2.8045972623248145,1.0,0.07690286636352539,nan
A_tabular,31623,12,0.45009593938905884,0.01238690240037441,1.7411041380869257,0.21931824068435354,3.2274534018653243,1.0,0.07292294502258301,nan
A_tabular,31623,13,0.4500946510126906,0.012420777689825746,0.6855721436978102,-0.7799677948591539,2.1303530029559408,1.0,0.07412385940551758,nan
