agent,n,seed,value_err_rmse,policy_err_l1,premium_vs_twap,premium_ci_low,premium_ci_high,clearance_prob,wall_clock_sec,kappa_hat
C_hybrid,100,0,0.04448686021517638,0.008580980785435965,0.15180642886325907,0.12119719822849029,0.18349415058207574,0.129,0.9199881553649902,100.0
C_hybrid,100,1,0.040095798194988805,0.008275564294754728,0.15856071811605582,0.12436259034556979,0.1920273094933627,0.1185,0.787642240524292,100.0
C_hybrid,100,2,0.15272493187634012,0.015784836386404565,-0.010438778909305625,-0.030892774472844445,0.009395769947716856,1.0,0.7296760082244873,100.0
C_hybrid,100,3,0.1359693206095935,0.006759237016969394,0.16896621468858958,0.1386774910068673,0.19823625223810204,0.656,0.6609699726104736,100.0
C_hybrid,100,4,0.05776837749580141,0.008198480961421393,0.14457181134098657,0.11436837087385772,0.1747539264160868,0.1375,0.5545718669891357,100.0
C_hybrid,100,5,0.1587140801276465,0.013503526667558127,0.005567673314828738,-0.01593090494646572,0.026792393651285582,1.0,0.6412668228149414,100.0
C_hybrid,100,6,0.07967040049353823,0.015784836386404565,-0.007607373993320578,-0.028616450458874617,0.012791605632299878,1.0,0.5866560935974121,100.0
C_hybrid,100,7,0.04328339830835539,0.011512056742101527,0.09097925624774157,0.05877558651453236,0.1225013522615945,0.0065,0.5711979866027832,100.0
C_hybrid,100,8,0.284005634293736,0.009267567264131525,0.11562541856225172,0.08468961684896215,0.14735988169931263,0.0395,0.6080927848815918,100.0
C_hybrid,100,9,0.36490533062741015,0.017381008706839795,0.010387234026157273,-0.0043754809356288775,0.025475200346061076,0.0,0.5880539417266846,100.0
C_hybrid,100,10,0.10990951799385347,0.009964574923674927,0.06840828715967001,0.04747215296382244,0.09042051196970123,0.9755,0.5484199523925781,100.0
C_hybrid,100,11,0.17728617136438501,0.015784836386404565,0.0015192165871794714,-0.019926115118319286,0.022409390149833498,1.0,0.5359287261962891,100.0
C_hybrid,100,12,0.05644562953522081,0.015784836386404565,0.007480137827238678,-0.012966689513564535,0.027765536837791534,1.0,0.08690190315246582,100.0
C_hybrid,100,13,0.4567475909857043,0.015784836386404565,-0.012767203392748372,-0.03400779400263858,0.007785258081476404,1.0,0.07526588439941406,100.0
C_hybrid,100,14,0.05909426732404785,0.009384984464155345,0.10670578483859697,0.07597915160003511,0.13589398910287448,0.021,0.07642698287963867,100.0
C_hybrid,100,15,0.052045971266879106,0.021472932492951458,-0.004101612984937105,-0.024511704633308207,0.016822472072994792,1.0,0.10205602645874023,100.0
C_hybrid,100,16,0.3036811550422314,0.015784836386404565,0.01043577051978528,-0.01086338144783883,0.031934276355767274,1.0,0.10865592956542969,100.0
C_hybrid,100,17,0.32092236382864425,0.011210914604168188,0.08358386902598752,0.05692309559325221,0.10997012978381676,0.0085,0.07223129272460938,100.0
C_hybrid,100,18,0.12296100612208262,0.011051961101406084,0.09531286832626847,0.06850861925330737,0.12331193670235992,0.009,0.0957942008972168,100.0
C_hybrid,100,19,0.1199047801730327,0.011487377768072807,0.07220316600044495,0.04498550685397533,0.10007618908265115,0.0095,0.08834981918334961,100.0
C_hybrid,316,0,0.04283825843822785,0.00852481750097861,0.15062638846234022,0.11924203285380319,0.18304878738746888,0.1315,0.13805079460144043,100.0
C_hybrid,316,1,0.0399209384000296,0.008304730961421395,0.1546410210716695,0.12221002723457915,0.18634313082538642,0.114,0.12402629852294922,100.0
C_hybrid,316,2,0.1527967021111254,0.015784836386404565,-0.010438778909305625,-0.030892774472844445,0.009395769947716856,1.0,0.11999082565307617,100.0
C_hybrid,316,3,0.13334422622639555,0.006799806029237409,0.1670779330286248,0.13776544592816703,0.19612159606453572,0.672,0.11115694046020508,100.0
C_hybrid,316,4,0.05804134998169771,0.008198480961421393,0.14457181134098657,0.11436837087385772,0.1747539264160868,0.1375,0.11597394943237305,100.0
C_hybrid,316,5,0.1588520923370633,0.013315807925395355,0.005567673314828738,-0.01593090494646572,0.026792393651285582,1.0,0.09341621398925781,100.0
C_hybrid,316,6,0.08014152485851876,0.015784836386404565,-0.007607373993320578,-0.028616450458874617,0.012791605632299878,1.0,0.08910512924194336,100.0
C_hybrid,316,7,0.045361455994939195,0.01164867307346948,0.08844668542885413,0.0561722420687829,0.11942875356145898,0.0065,0.12284398078918457,100.0
C_hybrid,316,8,0.2845468524089314,0.009261818204135415,0.11562541856225172,0.08468961684896215,0.14735988169931263,0.0395,0.11988186836242676,100.0
C_hybrid,316,9,0.36509810311964297,0.01738100870683979,0.010530313578489653,-0.004233597766684384,0.025602060835812544,0.0,0.16693997383117676,100.0
C_hybrid,316,10,0.11014123051285642,0.010185013932093086,0.04509777397698704,0.02473499306114931,0.06682347704097719,0.994,0.13314294815063477,100.0
C_hybrid,316,11,0.1745277842250875,0.015784836386404565,0.0015192165871794714,-0.019926115118319286,0.022409390149833498,1.0,0.1407918930053711,100.0
