sigma_lam,lam_idx,lam_value,q,h_t0,mo_trigger_t0
0.0,0,0.4166666666666667,0,0.0,False
0.0,0,0.4166666666666667,1,0.02925621656104803,False
0.0,0,0.4166666666666667,2,0.051180164422961937,False
0.0,0,0.4166666666666667,3,0.06865755070815684,False
0.0,0,0.4166666666666667,4,0.08287488279401654,False
0.0,0,0.4166666666666667,5,0.09448600833009635,False
0.0,0,0.4166666666666667,6,0.10390739182927472,False
0.0,0,0.4166666666666667,7,0.11142876715317962,False
0.0,0,0.4166666666666667,8,0.11726413264692997,False
0.0,0,0.4166666666666667,9,0.12157855885421119,False
0.0,0,0.4166666666666667,10,0.12450364166244934,False
0.0,1,0.4313603849339073,0,0.0,False
0.0,1,0.4313603849339073,1,0.029256361565972454,False
0.0,1,0.4313603849339073,2,0.051180466272340484,False
0.0,1,0.4313603849339073,3,0.06865802154835166,False
0.0,1,0.4313603849339073,4,0.08287553506457433,False
0.0,1,0.4313603849339073,5,0.09448685475049824,False
0.0,1,0.4313603849339073,6,0.10390844538612459,False
0.0,1,0.4313603849339073,7,0.1114300410878561,False
0.0,1,0.4313603849339073,8,0.11726564044371354,False
0.0,1,0.4313603849339073,9,0.12158031422888556,False
0.0,1,0.4313603849339073,10,0.1245056585513636,False
0.0,2,0.4465722760567888,0,0.0,False
0.0,2,0.4465722760567888,1,0.029258012623407426,False
0.0,2,0.4465722760567888,2,0.05118389987683858,False
0.0,2,0.4465722760567888,3,0.06866337230226241,False
0.0,2,0.4465722760567888,4,0.08288294051677586,False
0.0,2,0.4465722760567888,5,0.09449645523551788,False
0.0,2,0.4465722760567888,6,0.10392038386900346,False
0.0,2,0.4465722760567888,7,0.11144446301500698,False
0.0,2,0.4465722760567888,8,0.11728269359986589,False
0.0,2,0.4465722760567888,9,0.121600148600072,False
0.0,2,0.4465722760567888,10,0.12452842619375762,False
0.0,3,0.46232061336160213,0,0.0,False
0.0,3,0.46232061336160213,1,0.029259721624397023,False
0.0,3,0.46232061336160213,2,0.05118745393686115,False
0.0,3,0.46232061336160213,3,0.06866891069425404,False
0.0,3,0.46232061336160213,4,0.08289060555625162,False
0.0,3,0.46232061336160213,5,0.09450639211377802,False
0.0,3,0.46232061336160213,6,0.10393274049230534,False
0.0,3,0.46232061336160213,7,0.11145938984995939,False
0.0,3,0.46232061336160213,8,0.11730034352514312,False
0.0,3,0.46232061336160213,9,0.12162067676439967,False
0.0,3,0.46232061336160213,10,0.12455198987997251,False
0.0,4,0.4786243145820979,0,0.0,False
0.0,4,0.4786243145820979,1,0.029261490592257255,False
0.0,4,0.4786243145820979,2,0.05119113265527446,False
0.0,4,0.4786243145820979,3,0.0686746432660471,False
0.0,4,0.4786243145820979,4,0.0828985392257172,False
0.0,4,0.4786243145820979,5,0.09451667709374281,False
0.0,4,0.4786243145820979,6,0.10394552979739373,False
0.0,4,0.4786243145820979,7,0.11147483913631903,False
0.0,4,0.4786243145820979,8,0.11731861093673185,False
0.0,4,0.4786243145820979,9,0.12164192278578377,False
0.0,4,0.4786243145820979,10,0.12457637719543159,False
0.0,5,0.49550296458446713,0,0.0,False
0.0,5,0.49550296458446713,1,0.02926332162022732,False
0.0,5,0.49550296458446713,2,0.05119494037995656,False
0.0,5,0.49550296458446713,3,0.06868057678469924,False
0.0,5,0.49550296458446713,4,0.08290675087884948,False
0.0,5,0.49550296458446713,5,0.09452732228581358,False
0.0,5,0.49550296458446713,6,0.10395876682394196,False
0.0,5,0.49550296458446713,7,0.11149082901780734,False
0.0,5,0.49550296458446713,8,0.1173375172592027,False
0.0,5,0.49550296458446713,9,0.12166391154827645,False
0.0,5,0.49550296458446713,10,0.12460161666394759,False
0.0,6,0.5129768388937151,0,0.0,False
0.0,6,0.5129768388937151,1,0.02926521687383405,False
0.0,6,0.5129768388937151,2,0.05119888160868431,False
0.0,6,0.5129768388937151,3,0.06868671825017289,False
0.0,6,0.5129768388937151,4,0.08291525019069237,False
0.0,6,0.5129768388937151,5,0.0945383402157298,False
0.0,6,0.5129768388937151,6,0.103972467126485,False
0.0,6,0.5129768388937151,7,0.1115073782581186,False
0.0,6,0.5129768388937151,8,0.11735708464782565,False
0.0,6,0.5129768388937151,9,0.1216866687829909,False
0.0,6,0.5129768388937151,10,0.12462773777840427,False
0.0,7,0.5310669280496926,0,0.0,False
0.0,7,0.5310669280496926,1,0.029267178593332617,False
0.0,7,0.5310669280496926,2,0.05120296099417664,False
0.0,7,0.5310669280496926,3,0.06869307490314283,False
0.0,7,0.5310669280496926,4,0.08292404716839016,False
0.0,7,0.5310669280496926,5,0.09454974383838842,False
0.0,7,0.5310669280496926,6,0.1039866467914837,False
0.0,7,0.5310669280496926,7,0.11152450626138667,False
0.0,7,0.5310669280496926,8,0.11737733601259444,False
0.0,7,0.5310669280496926,9,0.12171022109583668,False
0.0,7,0.5310669280496926,10,0.12465477103235346,False
0.0,8,0.5497949628220392,0,0.0,False
0.0,8,0.5497949628220392,1,0.029269209096225605,False
0.0,8,0.5497949628220392,2,0.05120718334929866,False
0.0,8,0.5497949628220392,3,0.06869965423305095,False
0.0,8,0.5497949628220392,4,0.08293315216225752,False
0.0,8,0.5497949628220392,5,0.0945615465520927,False
0.0,8,0.5497949628220392,6,0.10400132245491489,False
0.0,8,0.5497949628220392,7,0.11154223309327617,False
0.0,8,0.5497949628220392,8,0.11739829504297705,False
0.0,8,0.5497949628220392,9,0.12173459599608519,False
0.0,8,0.5497949628220392,10,0.12468274795254843,False
0.0,9,0.5691834403143314,0,0.0,False
0.0,9,0.5691834403143314,1,0.02927131077986276,False
0.0,9,0.5691834403143314,2,0.051211553652431005,False
0.0,9,0.5691834403143314,3,0.06870646398641439,False
0.0,9,0.5691834403143314,4,0.08294257587719485,False
0.0,9,0.5691834403143314,5,0.09457376221324187,False
0.0,9,0.5691834403143314,6,0.10401651132040007,False
0.0,9,0.5691834403143314,7,0.11156057950271363,False
0.0,9,0.5691834403143314,8,0.11741998623341006,False
0.0,9,0.5691834403143314,9,0.12175982192578491,False
0.0,9,0.5691834403143314,10,0.1247117011324346,False
0.0,10,0.5833333333333334,0,0.0,False
0.0,10,0.5833333333333334,1,0.029272844295627185,False
0.0,10,0.5833333333333334,2,0.05121474243921765,False
0.0,10,0.5833333333333334,3,0.06871143263362149,False
0.0,10,0.5833333333333334,4,0.08294945165170682,False
0.0,10,0.5833333333333334,5,0.094582674907876,False
0.0,10,0.5833333333333334,6,0.10402759310785024,False
0.0,10,0.5833333333333334,7,0.11157396479521806,False
0.0,10,0.5833333333333334,8,0.11743581154822595,False
0.0,10,0.5833333333333334,9,0.1217782257564229,False
0.0,10,0.5833333333333334,10,0.12473282382547358,False
0.0,11,0.5892556509887896,0,0.0,False
0.0,11,0.5892556509887896,1,0.029273486042690748,False
0.0,11,0.5892556509887896,2,0.051216076870365716,False
0.0,11,0.5892556509887896,3,0.06871351186959405,False
0.0,11,0.5892556509887896,4,0.0829523289313147,False
0.0,11,0.5892556509887896,5,0.09458640452449424,False
0.0,11,0.5892556509887896,6,0.10403223034821865,False
0.0,11,0.5892556509887896,7,0.11157956588064359,False
0.0,11,0.5892556509887896,8,0.1174424335782215,False
0.0,11,0.5892556509887896,9,0.12178592665476273,False
0.0,11,0.5892556509887896,10,0.12474166228858989,False
0.0,12,0.6100357066440106,0,0.0,False
0.0,12,0.6100357066440106,1,0.029275737612821262,False
0.0,12,0.6100357066440106,2,0.05122075869471781,False
0.0,12,0.6100357066440106,3,0.06872080678099488,False
0.0,12,0.6100357066440106,4,0.08296242368082729,False
0.0,12,0.6100357066440106,5,0.0945994895584438,False
0.0,12,0.6100357066440106,6,0.1040484995933258,False
0.0,12,0.6100357066440106,7,0.1115992165375969,False
0.0,12,0.6100357066440106,8,0.11746566592380976,False
0.0,12,0.6100357066440106,9,0.12181294385249741,False
0.0,12,0.6100357066440106,10,0.12477267020755249,False
0.0,13,0.6315485693793326,0,0.0,False
0.0,13,0.6315485693793326,1,0.029278068062090486,False
0.0,13,0.6315485693793326,2,0.051225604451595075,False
0.0,13,0.6315485693793326,3,0.06872835698489714,False
0.0,13,0.6315485693793326,4,0.08297287151316289,False
0.0,13,0.6315485693793326,5,0.0946130320113545,False
0.0,13,0.6315485693793326,6,0.10406533724685792,False
0.0,13,0.6315485693793326,7,0.11161955334564398,False
0.0,13,0.6315485693793326,8,0.11748970900895057,False
0.0,13,0.6315485693793326,9,0.12184090330965602,False
0.0,13,0.6315485693793326,10,0.12480475891620564,False
0.0,14,0.6538200815806257,0,0.0,False
0.0,14,0.6538200815806257,1,0.029280480134929173,False
0.0,14,0.6538200815806257,2,0.051230619838601874,False
0.0,14,0.6538200815806257,3,0.06873617134451694,False
0.0,14,0.6538200815806257,4,0.08298368467295075,False
0.0,14,0.6538200815806257,5,0.09462704772811517,False
0.0,14,0.6538200815806257,6,0.10408276297555037,False
0.0,14,0.6538200815806257,7,0.11164060001740427,False
0.0,14,0.6538200815806257,8,0.11751459081835984,False
0.0,14,0.6538200815806257,9,0.12186983751117687,False
0.0,14,0.6538200815806257,10,0.12483796562950122,False
0.0,15,0.6768769969635297,0,0.0,False
0.0,15,0.6768769969635297,1,0.029282976669905033,False
0.0,15,0.6768769969635297,2,0.051235810748346156,False
0.0,15,0.6768769969635297,3,0.06874425902573396,False
0.0,15,0.6768769969635297,4,0.08299487582198758,False
0.0,15,0.6768769969635297,5,0.0946415530921675,False
0.0,15,0.6768769969635297,6,0.10410079711298409,False
0.0,15,0.6768769969635297,7,0.11166238106755723,False
0.0,15,0.6768769969635297,8,0.11754034028095366,False
0.0,15,0.6768769969635297,9,0.12189978003525781,False
0.0,15,0.6768769969635297,10,0.12487232881161422,False
0.0,16,0.7007470127114288,0,0.0,False
0.0,16,0.7007470127114288,1,0.02928556060285565,False
0.0,16,0.7007470127114288,2,0.051241183274898607,False
0.0,16,0.7007470127114288,3,0.06875262950706826,False
0.0,16,0.7007470127114288,4,0.08300645805292048,False
0.0,16,0.7007470127114288,5,0.0946565650430804,False
0.0,16,0.7007470127114288,6,0.10411946068123311,False
0.0,16,0.7007470127114288,7,0.11168492183874047,False
0.0,16,0.7007470127114288,8,0.11756698730016964,False
0.0,16,0.7007470127114288,9,0.12193076558826933,False
0.0,16,0.7007470127114288,10,0.12490788821561023,False
0.0,17,0.7254588027467701,0,0.0,False
0.0,17,0.7254588027467701,1,0.029288234970118707,False
0.0,17,0.7254588027467701,2,0.051246743720450495,False
0.0,17,0.7254588027467701,3,0.06876129258996033,False
0.0,17,0.7254588027467701,4,0.08301844490334088,False
0.0,17,0.7254588027467701,5,0.09467210109464613,False
0.0,17,0.7254588027467701,6,0.10413877541314634,False
0.0,17,0.7254588027467701,7,0.11170824852819655,False
0.0,17,0.7254588027467701,8,0.1175945627851534,False
0.0,17,0.7254588027467701,9,0.12196283004064931,False
0.0,17,0.7254588027467701,10,0.12494468492421197,False
0.0,18,0.751042052175692,0,0.0,False
0.0,18,0.751042052175692,1,0.029291002911862127,False
0.0,18,0.751042052175692,2,0.05125249860217498,False
0.0,18,0.751042052175692,3,0.06877025840936178,False
0.0,18,0.751042052175692,4,0.08303085037029928,False
0.0,18,0.751042052175692,5,0.09468817935350916,False
0.0,18,0.751042052175692,6,0.10415876377527707,False
0.0,18,0.751042052175692,7,0.11173238821518416,False
0.0,18,0.751042052175692,8,0.11762309868282664,False
0.0,18,0.751042052175692,9,0.12199601046379799,False
0.0,18,0.751042052175692,10,0.12498276139168463,False
0.0,19,0.7775274929473395,0,0.0,False
0.0,19,0.7775274929473395,1,0.029293867675516776,False
0.0,19,0.7775274929473395,2,0.05125845465929718,False
0.0,19,0.7775274929473395,3,0.06877953744464425,False
0.0,19,0.7775274929473395,4,0.08304368892525028,False
0.0,19,0.7775274929473395,5,0.09470481853834069,False
0.0,19,0.7775274929473395,6,0.10417944899147451,False
0.0,19,0.7775274929473395,7,0.1117573688891688,False
0.0,19,0.7775274929473395,8,0.1176526280108538,False
0.0,19,0.7775274929473395,9,0.1220303451679907,False
0.0,19,0.7775274929473395,10,0.12502216148685813,False
0.0,20,0.8049469407707047,0,0.0,False
0.0,20,0.8049469407707047,1,0.029296832619314116,False
0.0,20,0.8049469407707047,2,0.051264618860377954,False
0.0,20,0.8049469407707047,3,0.06878914053083371,False
0.0,20,0.8049469407707047,4,0.08305697552943778,False
0.0,20,0.8049469407707047,5,0.0947220379995695,False
0.0,20,0.8049469407707047,6,0.10420085506715002,False
0.0,20,0.8049469407707047,7,0.11178321947880833,False
0.0,20,0.8049469407707047,8,0.11768318489152367,False
0.0,20,0.8049469407707047,9,0.12206587374132548,False
0.0,20,0.8049469407707047,10,0.125062930537304,False
0.0,21,0.8333333333333334,0,0.0,False
0.0,21,0.8333333333333334,1,0.029299901215931578,False
0.0,21,0.8333333333333334,2,0.05127099841081636,False
0.0,21,0.8333333333333334,3,0.0687990788701777,False
0.0,21,0.8333333333333334,4,0.08307072564972928,False
0.0,21,0.8333333333333334,5,0.09473985773968092,False
0.0,21,0.8333333333333334,6,0.10422300681423159,False
0.0,21,0.8333333333333334,7,0.11180996988174699,False
0.0,21,0.8333333333333334,8,0.1177148045865604,False
0.0,21,0.8333333333333334,9,0.12210263708972176,False
0.0,21,0.8333333333333334,10,0.12510511537468344,False
0.0,22,0.8627207698678147,0,0.0,False
0.0,22,0.8627207698678147,1,0.02930307621572909,False
0.0,22,0.8627207698678147,2,0.05127759888094433,False
0.0,22,0.8627207698678147,3,0.06880936090597892,False
0.0,22,0.8627207698678147,4,0.08308495063779889,False
0.0,22,0.8627207698678147,5,0.09475829203562254,False
0.0,22,0.8627207698678147,6,0.10424592143252674,False
0.0,22,0.8627207698678147,7,0.11183764019818473,False
0.0,22,0.8627207698678147,8,0.11774751005337507,False
0.0,22,0.8627207698678147,9,0.1221406609633199,False
0.0,22,0.8627207698678147,10,0.12514874445557075,False
0.0,23,0.8931445521135776,0,0.0,False
0.0,23,0.8931445521135776,1,0.029306362112796677,False
0.0,23,0.8931445521135776,2,0.051284429720253495,False
0.0,23,0.8931445521135776,3,0.06882000152793226,False
0.0,23,0.8931445521135776,4,0.08309967133186348,False
0.0,23,0.8931445521135776,5,0.09477736820595842,False
0.0,23,0.8931445521135776,6,0.1042696332762323,False
0.0,23,0.8931445521135776,7,0.1118662723966194,False
0.0,23,0.8931445521135776,8,0.11778135147670955,False
0.0,23,0.8931445521135776,9,0.12218000438818793,False
0.0,23,0.8931445521135776,10,0.12519388629541797,False
0.0,24,0.9246412267232043,0,0.0,False
0.0,24,0.9246412267232043,1,0.029309762741960448,False
0.0,24,0.9246412267232043,2,0.05129149888262699,False
0.0,24,0.9246412267232043,3,0.06883101309730284,False
0.0,24,0.9246412267232043,4,0.08311490479249532,False
0.0,24,0.9246412267232043,5,0.09479710830562167,False
0.0,24,0.9246412267232043,6,0.10429416969237704,False
0.0,24,0.9246412267232043,7,0.11189589941616754,False
0.0,24,0.9246412267232043,8,0.11781636768961697,False
0.0,24,0.9246412267232043,9,0.12222071239464422,False
0.0,24,0.9246412267232043,10,0.12524059242626226,False
0.0,25,0.957248629164196,0,0.0,False
