panel,agent,sweep_value,seed,mo_per_path,terminal_mean,clearance_prob,value_err_rmse
a,A_tabular,0.1,1,8.944,299.9736546980324,1.0,nan
a,B_ddqn,0.1,1,9.348,299.9602423435889,1.0,nan
a,A_tabular,0.1,2,8.976,299.9494991316149,1.0,nan
a,B_ddqn,0.1,2,8.244,299.96032705807824,0.064,nan
a,A_tabular,0.1,3,7.818,299.9692024305785,1.0,nan
a,B_ddqn,0.1,3,0.864,299.9528021922678,0.136,nan
a,A_tabular,0.1,4,8.926,299.968004319698,1.0,nan
a,B_ddqn,0.1,4,9.646,299.9537527764246,1.0,nan
a,A_tabular,0.1,5,8.174,299.9778554521243,1.0,nan
a,B_ddqn,0.1,5,9.694,299.95280169120605,1.0,nan
a,A_tabular,0.1,6,7.814,299.96829413658486,1.0,nan
a,B_ddqn,0.1,6,9.514,299.9464454161321,1.0,nan
a,A_tabular,0.1,7,7.922,299.965614908992,1.0,nan
a,B_ddqn,0.1,7,8.562,299.9677271580454,1.0,nan
a,A_tabular,0.1,8,7.752,299.9803795616879,1.0,nan
a,B_ddqn,0.1,8,9.646,299.9500893325412,1.0,nan
a,A_tabular,0.1,9,7.478,299.95927345053957,1.0,nan
a,B_ddqn,0.1,9,2.846,300.07563221895094,0.704,nan
b,A_tabular,10,0,nan,nan,nan,0.05201396563602949
b,A_tabular,10,1,nan,nan,nan,0.052816142466032896
b,A_tabular,10,2,nan,nan,nan,0.05191418619786291
b,A_tabular,10,3,nan,nan,nan,0.05240949498362446
b,A_tabular,10,4,nan,nan,nan,0.052128826892420224
b,A_tabular,10,5,nan,nan,nan,0.052537721198589044
b,A_tabular,10,6,nan,nan,nan,0.05191410574514217
b,A_tabular,10,7,nan,nan,nan,0.052155475476178
b,A_tabular,10,8,nan,nan,nan,0.052173971058004615
b,A_tabular,10,9,nan,nan,nan,0.05170770669008704
b,A_tabular,21,0,nan,nan,nan,0.050040874606237226
b,A_tabular,21,1,nan,nan,nan,0.050350496583701124
b,A_tabular,21,2,nan,nan,nan,0.050017768727056475
b,A_tabular,21,3,nan,nan,nan,0.050034094669010744
b,A_tabular,21,4,nan,nan,nan,0.049661037015542774
b,A_tabular,21,5,nan,nan,nan,0.05031504286649359
b,A_tabular,21,6,nan,nan,nan,0.050361244113366344
b,A_tabular,21,7,nan,nan,nan,0.05031161016492097
b,A_tabular,21,8,nan,nan,nan,0.05065979393334988
b,A_tabular,21,9,nan,nan,nan,0.04997238696059074
b,A_tabular,50,0,nan,nan,nan,0.049454070234248
b,A_tabular,50,1,nan,nan,nan,0.04935856404065579
b,A_tabular,50,2,nan,nan,nan,0.05007553829306319
b,A_tabular,50,3,nan,nan,nan,0.04950329874477489
b,A_tabular,50,4,nan,nan,nan,0.04963724974909422
b,A_tabular,50,5,nan,nan,nan,0.04976705321314992
b,A_tabular,50,6,nan,nan,nan,0.04967513637381416
b,A_tabular,50,7,nan,nan,nan,0.04939440018175023
b,A_tabular,50,8,nan,nan,nan,0.04948301585114867
b,A_tabular,50,9,nan,nan,nan,0.04912491433663615
b,A_tabular,100,0,nan,nan,nan,0.0496470728358328
b,A_tabular,100,1,nan,nan,nan,0.049741608634009636
b,A_tabular,100,2,nan,nan,nan,0.04914400341076244
b,A_tabular,100,3,nan,nan,nan,0.049629288590080256
b,A_tabular,100,4,nan,nan,nan,0.04985756707526957
b,A_tabular,100,5,nan,nan,nan,0.04946664892269172
b,A_tabular,100,6,nan,nan,nan,0.049924675524664605
b,A_tabular,100,7,nan,nan,nan,0.04949742897801601
b,A_tabular,100,8,nan,nan,nan,0.05003399497956045
b,A_tabular,100,9,nan,nan,nan,0.049108311346805086
