regime,lam_train_mult,kap_train_mult,lam_test_mult,kap_test_mult,premium,mo_per_path,clearance_prob
misspec,0.5,1.0,2.0,1.0,0.19261135803099025,0.0,0.999
misspec,0.5,1.0,2.0,1.5,0.1844939186730724,0.0,0.914
misspec,0.5,1.0,2.0,2.0,0.15583493462057424,0.0,0.558
misspec,0.5,1.5,0.5,0.5,0.13165987032067739,0.0,0.9815
misspec,0.5,1.5,0.5,0.75,0.13238066590636702,0.003,0.931
misspec,0.5,1.5,0.5,1.0,0.11961334691912517,0.0025,0.814
misspec,0.5,1.5,0.5,1.5,0.1089638102351023,0.0205,0.477
misspec,0.5,1.5,0.5,2.0,0.10323972507806797,0.056,0.2065
misspec,0.5,1.5,0.75,0.5,0.142106011231968,0.0,1.0
misspec,0.5,1.5,0.75,0.75,0.14469035924123622,0.0,0.9985
misspec,0.5,1.5,0.75,1.0,0.1387963795533619,0.0,0.982
misspec,0.5,1.5,0.75,1.5,0.1265386803667772,0.0,0.827
misspec,0.5,1.5,0.75,2.0,0.11284814929146762,0.0015,0.4965
misspec,0.5,1.5,1.0,0.5,0.1498130730337827,0.0,1.0
misspec,0.5,1.5,1.0,0.75,0.14279981834507965,0.0,1.0
misspec,0.5,1.5,1.0,1.0,0.14071525075291827,0.0,0.999
misspec,0.5,1.5,1.0,1.5,0.12813837681351015,0.0,0.9415
misspec,0.5,1.5,1.0,2.0,0.12480953558995296,0.0005,0.721
misspec,0.5,1.5,1.5,0.5,0.14573100321231283,0.0,1.0
misspec,0.5,1.5,1.5,0.75,0.14143051013237157,0.0,1.0
misspec,0.5,1.5,1.5,1.0,0.15098468245858102,0.0,1.0
misspec,0.5,1.5,1.5,1.5,0.13912167367891365,0.0,0.9945
misspec,0.5,1.5,1.5,2.0,0.13407060787154196,0.0,0.916
misspec,0.5,1.5,2.0,0.5,0.15074520871588148,0.0,1.0
misspec,0.5,1.5,2.0,0.75,0.14457706026907025,0.0,1.0
misspec,0.5,1.5,2.0,1.0,0.14627044095357306,0.0,1.0
misspec,0.5,1.5,2.0,1.5,0.1430850962003436,0.0,1.0
misspec,0.5,1.5,2.0,2.0,0.13125659643692428,0.0,0.979
misspec,0.5,2.0,0.5,0.5,0.1160313870889581,0.0,0.9955
misspec,0.5,2.0,0.5,0.75,0.11065727420314263,0.0,0.98
misspec,0.5,2.0,0.5,1.0,0.1056744558392713,0.0005,0.9465
misspec,0.5,2.0,0.5,1.5,0.0955418870881978,0.0035,0.761
misspec,0.5,2.0,0.5,2.0,0.09127355308528155,0.0045,0.5165
misspec,0.5,2.0,0.75,0.5,0.11680432612506808,0.0,1.0
misspec,0.5,2.0,0.75,0.75,0.11916045649202922,0.0,0.9995
misspec,0.5,2.0,0.75,1.0,0.1131578378588091,0.0,0.9985
misspec,0.5,2.0,0.75,1.5,0.11050420965234094,0.0,0.9705
misspec,0.5,2.0,0.75,2.0,0.0993995906947732,0.0,0.8445
misspec,0.5,2.0,1.0,0.5,0.12717552736095147,0.0,1.0
misspec,0.5,2.0,1.0,0.75,0.12253392575146597,0.0,1.0
misspec,0.5,2.0,1.0,1.0,0.1163796587989056,0.0,1.0
misspec,0.5,2.0,1.0,1.5,0.11571402745747836,0.0,0.9955
misspec,0.5,2.0,1.0,2.0,0.11404447221407904,0.0,0.9535
misspec,0.5,2.0,1.5,0.5,0.12030760095437382,0.0,1.0
misspec,0.5,2.0,1.5,0.75,0.12212838315169597,0.0,1.0
misspec,0.5,2.0,1.5,1.0,0.11873231149442227,0.0,1.0
misspec,0.5,2.0,1.5,1.5,0.11557595935332907,0.0,1.0
misspec,0.5,2.0,1.5,2.0,0.11439569481633571,0.0,0.996
misspec,0.5,2.0,2.0,0.5,0.12411811867400109,0.0,1.0
misspec,0.5,2.0,2.0,0.75,0.11794482840151796,0.0,1.0
misspec,0.5,2.0,2.0,1.0,0.11690575857074756,0.0,1.0
misspec,0.5,2.0,2.0,1.5,0.12419932792679567,0.0,1.0
misspec,0.5,2.0,2.0,2.0,0.12186591155590944,0.0,1.0
misspec,0.75,0.5,0.5,0.5,0.22593373760162894,0.4415,0.1395
misspec,0.75,0.5,0.5,0.75,0.14602045801830268,1.7225,0.0075
misspec,0.75,0.5,0.5,1.0,0.09823269845283446,3.185,0.0005
misspec,0.75,0.5,0.5,1.5,0.04736771837218095,5.1615,0.0
misspec,0.75,0.5,0.5,2.0,0.02554156505155757,6.102,0.0
misspec,0.75,0.5,0.75,0.5,0.2955577314146227,0.0445,0.465
misspec,0.75,0.5,0.75,0.75,0.19798717510573668,0.6145,0.065
misspec,0.75,0.5,0.75,1.0,0.1366604837252793,1.883,0.0055
misspec,0.75,0.5,0.75,1.5,0.06580981085688217,4.3585,0.0
misspec,0.75,0.5,0.75,2.0,0.033425825436409665,5.6855,0.0
misspec,0.75,0.5,1.0,0.5,0.33583130645950393,0.004,0.7435
misspec,0.75,0.5,1.0,0.75,0.2401923506344882,0.181,0.1715
misspec,0.75,0.5,1.0,1.0,0.17204715951481525,1.044,0.02
misspec,0.75,0.5,1.0,1.5,0.08430257373011096,3.609,0.0
misspec,0.75,0.5,1.0,2.0,0.04229604674947754,5.2785,0.0
misspec,0.75,0.5,1.5,0.5,0.37572004323872893,0.0,0.96
misspec,0.75,0.5,1.5,0.75,0.30008186759742,0.013,0.4905
misspec,0.75,0.5,1.5,1.0,0.2131212813319613,0.254,0.0925
misspec,0.75,0.5,1.5,1.5,0.11581530893511527,2.462,0.0015
misspec,0.75,0.5,1.5,2.0,0.05840031820756883,4.5445,0.0
misspec,0.75,0.5,2.0,0.5,0.4000154088919836,0.0,0.993
misspec,0.75,0.5,2.0,0.75,0.3388576434950478,0.0,0.723
misspec,0.75,0.5,2.0,1.0,0.2539463220617588,0.048,0.224
