agent,n,seed,value_err_rmse,policy_err_l1,premium_vs_twap,premium_ci_low,premium_ci_high,clearance_prob,wall_clock_sec,kappa_hat
A_tabular,10000,0,0.4501115446986415,0.012540011232655917,2.9552522459552986,-1.447636176496578,7.7687078700254775,1.0,0.02432990074157715,nan
A_tabular,10000,1,0.45011123132067254,0.012538819495279229,-0.5992898843066632,-4.482315800411662,3.4284052425758595,1.0,0.02437901496887207,nan
D_plugin,10000,0,0.008049209776485924,0.0022637206827038764,2.369907184331014,-1.3151840129968178,6.249244247787827,0.86,1.477541208267212,95.59269782715519
D_plugin,10000,1,0.019050120517681825,0.0023866097288574757,-0.3126494935172377,-3.6930221602928524,2.9306273269491503,0.9,1.4759650230407715,110.16801360060026
