regime,lam_train_mult,kap_train_mult,lam_test_mult,kap_test_mult,premium,mo_per_path,clearance_prob
misspec,0.5,1.0,2.0,1.0,0.19260635803099027,0.0,0.999
misspec,0.5,1.0,2.0,1.5,0.18405141867307256,0.0,0.914
misspec,0.5,1.0,2.0,2.0,0.15335243462057488,0.0,0.558
misspec,0.5,1.5,0.5,0.5,0.13153737032067744,0.0,0.9815
misspec,0.5,1.5,0.5,0.75,0.13193066590636715,0.003,0.931
misspec,0.5,1.5,0.5,1.0,0.11836084691912535,0.0025,0.814
misspec,0.5,1.5,0.5,1.5,0.10503381023510323,0.0205,0.477
misspec,0.5,1.5,0.5,2.0,0.0963347250780695,0.056,0.2065
misspec,0.5,1.5,0.75,0.5,0.142106011231968,0.0,1.0
misspec,0.5,1.5,0.75,0.75,0.1446828592412362,0.0,0.9985
misspec,0.5,1.5,0.75,1.0,0.13869387955336193,0.0,0.982
misspec,0.5,1.5,0.75,1.5,0.12553618036677747,0.0,0.827
misspec,0.5,1.5,0.75,2.0,0.10959064929146814,0.0015,0.4965
misspec,0.5,1.5,1.0,0.5,0.1498130730337827,0.0,1.0
misspec,0.5,1.5,1.0,0.75,0.14279981834507965,0.0,1.0
misspec,0.5,1.5,1.0,1.0,0.1407102507529183,0.0,0.999
misspec,0.5,1.5,1.0,1.5,0.1278333768135102,0.0,0.9415
misspec,0.5,1.5,1.0,2.0,0.12326953558995345,0.0005,0.721
misspec,0.5,1.5,1.5,0.5,0.14573100321231283,0.0,1.0
misspec,0.5,1.5,1.5,0.75,0.14143051013237157,0.0,1.0
misspec,0.5,1.5,1.5,1.0,0.15098468245858102,0.0,1.0
misspec,0.5,1.5,1.5,1.5,0.13909417367891364,0.0,0.9945
misspec,0.5,1.5,1.5,2.0,0.1336381078715419,0.0,0.916
misspec,0.5,1.5,2.0,0.5,0.15074520871588148,0.0,1.0
misspec,0.5,1.5,2.0,0.75,0.14457706026907025,0.0,1.0
misspec,0.5,1.5,2.0,1.0,0.14627044095357306,0.0,1.0
misspec,0.5,1.5,2.0,1.5,0.1430850962003436,0.0,1.0
misspec,0.5,1.5,2.0,2.0,0.1311465964369243,0.0,0.979
misspec,0.5,2.0,0.5,0.5,0.11600138708895813,0.0,0.9955
misspec,0.5,2.0,0.5,0.75,0.11052727420314264,0.0,0.98
misspec,0.5,2.0,0.5,1.0,0.10532945583927145,0.0005,0.9465
misspec,0.5,2.0,0.5,1.5,0.09400688708819803,0.0035,0.761
misspec,0.5,2.0,0.5,2.0,0.08801605308528215,0.0045,0.5165
misspec,0.5,2.0,0.75,0.5,0.11680432612506808,0.0,1.0
misspec,0.5,2.0,0.75,0.75,0.11915795649202923,0.0,0.9995
misspec,0.5,2.0,0.75,1.0,0.11315033785880908,0.0,0.9985
misspec,0.5,2.0,0.75,1.5,0.11034920965234099,0.0,0.9705
misspec,0.5,2.0,0.75,2.0,0.0985495906947732,0.0,0.8445
misspec,0.5,2.0,1.0,0.5,0.12717552736095147,0.0,1.0
misspec,0.5,2.0,1.0,0.75,0.12253392575146597,0.0,1.0
misspec,0.5,2.0,1.0,1.0,0.1163796587989056,0.0,1.0
misspec,0.5,2.0,1.0,1.5,0.11569152745747838,0.0,0.9955
misspec,0.5,2.0,1.0,2.0,0.11380447221407917,0.0,0.9535
misspec,0.5,2.0,1.5,0.5,0.12030760095437382,0.0,1.0
